Item #,Item Title,Item Author,ISBN,Item Call number,Item Collections
253428058,"Filipino Children's Favorite Stories: Fables, Myths and Fairy Tales (Favorite Children's Stories)","Romulo, Liana",9.7808E+12,,Your library
257975312,Mabuhay,"Sterling, Zachary",9.78134E+12,,Your library
258587693,Lola's Parol,"Legaspi, Nuelma",9.78058E+12,,Your library
258587123,Who Turned on the Sky?,"Atanacio, Marielle",9.79899E+12,,Your library
258418695,Bandila: the Story of the Philippine Flag,"Melchor, Merci",,,Your library
257975410,Nurse Mommies are the Best!,"Cheng, Annie",9.79899E+12,,Your library
257975387,The House That Lou Built,"Respicio, Mae",9.78152E+12,,Your library
257975366,Patron Saints of Nothing,"Ribay, Randy",9.78053E+12,,Your library
257847034,Rom-rom Counts to Ten,"Similar, Rowena",9.78167E+12,,Your library
258589956,The Mythology Class,"Arre, Arnold",9.7808E+12,,Your library
257846438,"Si Lin-lin, Ang Mahiyaing Balintong","Tejido, Jomike",9.78971E+12,,Your library
257845699,"Mommy ni Kuya, Mommy Ko!","Matias Jr., Segundo D.",9.78972E+12,,Your library
257845323,May Tiyanak sa Loob ng Aking Bag,"Evasco, Eugene Y.",9.78971E+12,,Your library
257795700,TAKBO! Mga Pandiwa,"Yambao, Auri Asuncion",9.78621E+12,,Your library
257736520,Pag-uwi ni Mommy,"Contreras-Cabrera, Manuelita",9.78971E+12,,Your library
257736437,"Si Tasha, ang Mamag na Maikli ang Pasensiya","Tejido, Jomike",9.78971E+12,,Your library
257721980,Ang Kahon ng Pabaon,"Evasco, Eugene Y.",9.78971E+12,,Your library
258589526,I Was Their American Dream,"Gharib, Malaka",9.78053E+12,,Your library
258590158,Baybayin,"Carpizo, Clarissa",,,Your library
257721460,Si Faisal at si Farida,"Garlitos, Rhandee",9.78971E+12,,Your library
260590206,Sa Timog ng Alameda,"Larra, Lola",,,Your library
262958539,Rom-rom and Lola,"Similar, Rowena",,,Your library
262958277,My First Illustrated Dictionary - Caton Kapampangan - Filipino - English,,,,Your library
262958155,My First Illustrated Dictionary - Caton Kapampangan - Filipino - English,,,,Your library
262355628,Kailani's Gift,"Gilmore-Young, Dorina",593577795,,Your library
260592148,Depikto,"Abril, Ruvel",,,Your library
260591767,Alandal,"Ignacio, J. Philip",,,Your library
260591611,Si Janus Silang at Ang Tiyanak ng Tabon,"Javier, Carljoe",9.78972E+12,,Your library
260152112,The Mask of Haliya - Issue #3: Pain of the Body,,,,Your library
258590198,Baybayin,"Carpizo, Clarissa",,,Your library
260152005,The Mask of Haliya - Issue #2: Trace of the Past,,,,Your library
