Book Id,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Roles,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
253424893,The Filipino Child (Ang Batang Pinoy): Healthy and Respectful /Malusog at Magalang,1,"Suzara-Cheng, Jennifer",Author,"Basbas, Fer",Illustrator,"Www.Filam-Ecograndma.com (2023), 26 pages",2023,,,"This book, Ang Batang Pinoy (The Filipino Child), is dedicated to the children of Filipino descendants all over the world. It revolves around the traits that she has experienced while growing up in the Philippines. More importantly, she invites all the parents, grandparents and extended families to serve as the bridge in passing along our language and culture to the next generation.[return][return][return][return]""Ang hindi marunong[return][return]magmahal sa sariling wika[return][return]ay higit pa sa hayop at[return][return]malansang isda""[return][return][return][return]He who does not love his[return][return]own language is worse[return][return]than an animal and smelly fish[return][return]-Dr. JOSE RIZAL[return][return]Purchased at https://www.filam-ecograndma.com/",,The Filipino Child (Ang Batang Pinoy): Healthy and Respectful /Malusog at Magalang by Jennifer Suzara-Cheng (2023),Paperback,26 p.; 9 inches,0.13 pounds,9 inches,0.07 inches,6 inches,9 x 6 x 0.07 inches,26,,,,,1,,,Your library,"Tagalog, English",,,[9798989047000],9798989047000,,,,,1,amazon.com books,[2023-11-28],,,31309133,"K., Ashley",Checked out,4/6/2024,5/5/2024
253428023,Nasaan Si Kris?,1,"Villanueva, Rene",Author,,,Anvil Publishing Inc. (2019),2019,,,Kakain na pero nawawala si Kris! Hinahanap siya ng kaniyang ina. Nasa loob kaya siya ng orasan? O nasa ilalim ng hagdan? Alamin kung saan nagtatago si Kris sa iba’t ibang bahagi ng bahay![return]It’s time to eat and Kris is nowhere to be found! Kris’s mom is looking for her. Could she be inside the clock? Is she under the stairs? Look through the different parts of the house to find out where Kris is hiding!,,Nasaan Si Kris? by Rene Villanueva (2019),Board book,17 cm,,17 cm,,,17 cm,,,,,,2,,,"Your library, Board Books, Si Kris","Tagalog, English",Tagalog,,[978-971-27-3548-6],"978-971-27-3548-6, 9712735486, 9789712735486",,,,,1,Bowker Books in Print,[2023-11-28],,,31309330,"R., Jett",Checked out,4/6/2024,5/5/2024
253428030,Alam ni Kris ang Magkakasalungat na Salita,1,"Villanueva, Rene",Author,"de Dios Ballecer, Katrina",Illustrator,Anvil Publishing Inc.,2019,,,"Gustong-gusto ni Kris na matulog sa ilalim ng upuan, pero minsan, gusto rin niyang matulog sa ibabaw nito. Minsan, puno ang mangkok niya, ngunit minsan, wala itong laman! Sa bilingguwal na seryeng ito na para sa mga nakababatang mag-aaral, pagyayamin ang kanilang bokabularyo sa pagkatuto ng mga salitang magkakasalungat ang kahulugan. [return][return]Kris loves to sleep under the chair, but, sometimes, Kris loves to sleep on the chair. Sometimes, Kris's bowl is full, but sometimes it's empty! In this bilingual series for early learners, kids will enrich their growing vocabulary by learning about opposites.",,Alam ni Kris ang Magkakasalungat na Salita by Rene Villanueva (2019),Board book,16 p.; 6.5 inches,0.36 pounds,6.5 inches,,6.5 inches,6.5 x 6.5 inches,16,,,,,3,,"board book, bilingual, anvil starters, fiction, polarity, opposites, cat","Your library, Board Books, Si Kris","Tagalog, English",Multiple languages,,[9789712735479],"9789712735479, 9712735478",,,,,1,Bowker Books in Print,[2023-11-28],,,31309332,"R., Jett",Checked out,4/6/2024,5/5/2024
253428032,Mga Paboritong Kulay ni Kris,1,"Villanueva, Rene",Author,,,Anvil Publishing Inc. (2019),2019,,,"Maraming paboritong kulay si Kris! Sa bilingguwal na seryeng ito para sa mga nakababatang mag-aaral, pagyayamanin ang kanilang bokabularyo sa pagkatuto ng mga kulay.[return]Kris has many favorite colors! In this bilingual series for early learners, kids will enrich their growing vocabulary by learning about colors.",,Mga Paboritong Kulay ni Kris by Rene Villanueva (2019),Board book,17 cm,,17 cm,,,17 cm,,,,,,4,,,"Your library, Board Books, Si Kris","Tagalog, English",Tagalog,,[9789712735509],"9789712735509, 9712735508",,,,,1,Bowker Books in Print,[2023-11-28],,,31309333,(No name),,,
253428046,"Let's Go, Intayon!: An Enchanting Dual-Language Picture Book in English and Ilocano. (English Ilocano Bilingual Book for Kids)",1,"Penhollow, Avi",Author,,,"Independently published (2023), 34 pages",2023,,,"Two languages, one heartwarming adventure![return]Join an adorable Filipino child and his mother on a colorful tour of their hometown's streets, sounds, and flavors. This bilingual book, written in English and Ilocano, is more than just a story; it's also a song about a parent's love for their child and the rich Filipino culture.[return]See the ""kalesa"" trot through Laoag[return]Hear the iconic jeepneys beeping[return]Smell the fragrant flowers at the market[return]Feel the warmth of a grandmother's hug[return]Taste the sweetness of ube ice cream[return]Whether you're introducing your child to Filipino heritage or simply looking for a heartwarming tale of family and sensory exploration, this book is an adventure for all five senses.",,"Let's Go, Intayon!: An Enchanting Dual-Language Picture Book in English and Ilocano. (English Ilocano Bilingual Book for Kids) by Avi Penhollow (2023)",Paperback,34 p.; 8.5 inches,,8.5 inches,0.08 inches,8.5 inches,8.5 x 8.5 x 0.08 inches,34,,,,,5,,,Your library,"Iloko, English",,,[9798861718813],9798861718813,,,,,1,amazon.com books,[2023-11-28],,,31309334,(No name),,,
253428058,"Filipino Children's Favorite Stories: Fables, Myths and Fairy Tales (Favorite Children's Stories)",1,"Romulo, Liana",Author,,,"Tuttle Publishing (2020), Edition: Illustrated, 64 pages",2020,,,"This colorfully illustrated multicultural children's book presents Philippine fairy tales and other folk stories—providing insight into a rich storytelling culture.[return][return]Filipino Children's Favorite Stories presents thirteen well-loved myths and tales from the Philippines. These stories will enchant 5 to 10-year-old readers around the world with their wit and charm. Many of the tales have been transmitted from mother to child over centuries, and cover classic childhood themes—such as the forces of good triumphing over evil, children rebelling against evil adults and the weak prevailing over the strong. They make perfect new additions for story time or bedtime reading.[return][return]Narrated with an international audience in mind and illustrated with whimsical watercolors by award-winning artist Joanne de Leon, this is a must-have collection of tales for anyone interested in the Philippines or Filipino culture.[return][return]Featured Filipino stories include:[return]Why Mosquitoes Buzz Around Our Ears: the story of an unforgiving crab king who finally meets his match[return]The Prince's Bride: a timeless tale that proves there's more to people than meets the eye[return]The Deer and the Snail: the story of a race, an arrogant deer and some very clever snail friends",,"Filipino Children's Favorite Stories: Fables, Myths and Fairy Tales (Favorite Children's Stories) by Liana Romulo (2020)",Hardcover,64 p.; 11.5 inches,1.2 pounds,11.5 inches,0.5 inches,9 inches,11.5 x 9 x 0.5 inches,64,,,,,6,,,Your library,English,English,PZ8.R664 F,[9780804850216],"9780804850216, 0804850216",,398.2,"Customs, Etiquette, Folklore > Folk literature > Folklore > Social sciences",,1,amazon.com books,[2023-11-28],,,414968,(No name),,,
253428065,Filipino Celebrations: A Treasury of Feasts and Festivals,1,"Romulo, Liana",Author,,,"Tuttle Publishing (2012), Edition: Bilingual, 48 pages",2012,,,"This multicultural children's book is full of Filipino holidays, culture, language and stories![return][return]In the Philippines, people love to celebrate—holidays are filled with music and dancing, sometimes with colorful costumes, and always with great food! Rich with detailed watercolors and cultural flavor, Filipino Celebrations: A Treasury of Feasts and Festivals makes major holidays (like Christmas) and family gatherings (like weddings and birthdays) come alive.[return][return]From these pages, children will learn the history of each holiday, its cultural influences, the varied ways in which people celebrate in different regions of the Philippines, special customs and food, key words and phrases (in English and Tagalog), and more. Games, songs, and other activities invite young readers to join in the fun. New and familiar holidays take on a special flavor as children learn about the diverse cultures that make up this wonderful island nation. Perfect for Filipino-American families looking to share the unique culture of the Philippines, educators interested in promoting multiculturalism in the classroom, or anyone interested in the country, Filipino Celebrations will encourage children ages five to ten to participate and learn while having fun.[return][return]Celebrations and festivals include:[return]Mga Kaarawan — Birthdays[return]Semana Santa — Holy Week[return]Mga Barrio Fiestas — Town Festivals[return]Mga Binyag — Baptisms[return]Araw ng Kalayaan — Independence Day and more!",,Filipino Celebrations: A Treasury of Feasts and Festivals by Liana Romulo (2012),Hardcover,48 p.; 10.5 x 8.5 inches,1.1243575362 pounds,8.5 inches,0.4 inches,10.5 inches,8.5 x 10.5 x 0.4 inches,48,,,,,7,,,Your library,English,English,GT4881.A2 R66,[9780804838214],"9780804838214, 0804838216",,394.269599,"Customs, Etiquette, Folklore > General Customs > History, geographic treatment, biography > Holidays > Social sciences > Special Occasions",,1,amazon.com books,[2023-11-28],,,13589064,(No name),,,
253428071,Filipino Friends,1,"Romulo, Liana",Author,,,"Tuttle Publishing (2006), Edition: Illustrated, 32 pages",2006,,,"Travel to the Philippines without leaving home![return][return]From the author of Filipino Children's Favorite Stories comes a book for young children that features a Filipino-American boy visiting the Philippines for the very first time. Each watercolor illustration is labeled with English words and their Filipino translations and shows readers both the similarities and differences between Western and Philippine lifestyles. Filipino Friends, perfect for Filipino-American's or those just interested in the culture, is indispensable in bridging the gap between the two cultures.[return][return]Following the sweet multicultural children's story, kids will learn about Philippine customs and traditions, including:[return]Filipino festivals and celebrations[return]Traditional dress[return]Snacks and meals[return]Songs and games[return]The Filipino language—Tagalog—and more!",,Filipino Friends by Liana Romulo (2006),Hardcover,32 p.; 10.5 x 9.5 inches,1.1243575362 pounds,9.5 inches,0.3 inches,10.5 inches,9.5 x 10.5 x 0.3 inches,32,,,,,8,,,Your library,"English, Tagalog",English,DS663 .R66,[9780804838221],"9780804838221, 0804838224",,959.9,Asia > History and Geography > Southeast Asia > The Philippines,,1,amazon.com books,[2023-11-28],,,8576577,(No name),,,
253428087,My First Book of Colors and Shapes/Ang Aking Unang Aklat ng Mga Kulay at Hugis,1,"Suzara-Cheng, Jennifer",Author,,,"Indy Pub (2020), 20 pages",2020,,,"This book part of the Children's Nature Book Series (Bi-Lingual English Tagalog) for Global Filipinos. These BILINGUAL and ENVIRONMENTAL picture books series are conceptualized for the millions of descendants of Filipinos living in different parts of the world called GLOBAL FILIPINOS. It is the author's goal to plant a seed in the minds of future generations, and make a connection between the children's place of birth and the land of their ancestors using language as a springboard. At the same time, she also wants to open their young eyes to nature by providing pictures instead of cartoonish depictions of living organisms. By doing so, the author sincerely hopes to help awaken in the hearts of new generations of Global Filipinos, love for the PHILIPPINES and the ENVIRONMENT.[return][return]Purchased at https://www.filam-ecograndma.com/",,My First Book of Colors and Shapes/Ang Aking Unang Aklat ng Mga Kulay at Hugis by Jennifer Suzara-Cheng (2020),Paperback,20 p.; 9.02 inches,0.110231131 pounds,9.02 inches,0.05 inches,5.98 inches,9.02 x 5.98 x 0.05 inches,20,,,,,9,,,Your library,"Tagalog, English",,,[9781087913797],"9781087913797, 1087913799",,,,,1,amazon.com books,[2023-11-28],,,31309342,(No name),,,
253428089,My First Book of Animals; Ang Aking Unang Aklat ng mga Hayop,1,"Suzara-Cheng, Jennifer",Author,,,"www.filam-ecograndma.com (2020), 20 pages",2020,,,"This book on animals is the first in the Children's Nature Book Series (Bi-Lingual English Tagalog) for Global Filipinos. These BILINGUAL and ENVIRONMENTAL picture books series are conceptualized for the millions of descendants of Filipinos living in different parts of the world called GLOBAL FILIPINOS. It is the author's goal to plant a seed in the minds of future generations, and make a connection between the children's place of birth and the land of their ancestors using language as a springboard. At the same time, she also wants to open their young eyes to nature by providing pictures instead of cartoonish depictions of living organisms. By doing so, the author sincerely hopes to help awaken in the hearts of new generations of Global Filipinos, love for the PHILIPPINES and the ENVIRONMENT.[return][return]Purchased at https://www.filam-ecograndma.com/",,My First Book of Animals; Ang Aking Unang Aklat ng mga Hayop by Jennifer Suzara-Cheng (2020),Paperback,20 p.; 9 inches,0.110231131 pounds,9 inches,0.05 inches,6 inches,9 x 6 x 0.05 inches,20,,,,,10,,,Your library,"Tagalog, English",,,[9781087878737],"9781087878737, 108787873X",,,,,1,amazon.com books,[2023-11-28],,,31309343,(No name),,,
